building_id,earthquake_id,num_storeys,total_mass_kg,total_height_m,fundamental_period_T1_s,period_T2_s,period_T3_s,period_ratio_T2_T1,first_mode_mass_ratio,first_mode_participation,avg_storey_mass_kg,avg_storey_stiffness_N_m,base_stiffness_N_m,stiffness_taper_ratio,damping_ratio,pga_g,pgv_m_s,pgd_m,arias_intensity_m_s,significant_duration_s,mean_period_Tm_s,predominant_period_Tp_s,Sa_T1_g,Sa_T2_g,Sa_T3_g,Sd_T1_m,Sa_over_PGA,T1_over_Tp,T1_over_Tm,static_drift_proxy,target_max_pidr,target_max_roof_disp_m,target_peak_base_shear_N,target_peak_pfa_m_s2
Bldg_003_7St,Imperial_Valley_1979_Array6_scaled_0.26g,7.0,1916270.4866929152,21.004371166760656,1.7280142136463181,0.5969958868135233,0.3709851306358629,0.34548088904534535,0.8517525842969699,1277.5712658214816,273752.92667041643,76957987.31765112,83542359.52837032,0.8423704513999704,0.03410275425336676,0.26339999999999997,0.26823347494089234,0.1259599283434734,1.0924121950824885,11.25,0.4646807553227397,0.8192,0.1626167242922396,0.49055704488743873,0.7355750575536056,0.12061854917841447,0.6173755667890647,2.109392350642478,3.7187126728459883,0.010383356703451533,0.012908432722205782,0.1581473387902501,3235876.1923201187,4.277503816710835
Bldg_010_4St,El_Centro_1940_NS_scaled_0.49g,4.0,577210.2580398876,15.589050114707588,0.9035156567368826,0.3317185659069841,0.22164574174728088,0.367142022867663,0.8750783301686131,710.7068233538631,144302.5645099719,51967001.47358608,60903626.192958586,0.7065322616075785,0.058122873880958124,0.4871999999999999,0.7653878044182246,0.26101657054381694,6.089775332399659,13.060000000000002,0.5341737574272261,0.7447272727272727,0.48205614856060613,1.163081870823011,1.366430265736131,0.09766134768313124,0.9894420126449225,1.213216824231654,1.6914265146392453,0.010059964754465897,0.01075398732389526,0.12819583870577686,2498893.5680699707,9.225780784405956
Bldg_040_5St,Imperial_Valley_1979_Array6_scaled_0.26g,5.0,886610.9492362948,19.765736699798776,1.0612910403555909,0.38285605262008715,0.2551718244840761,0.36074558067672874,0.8574015036543967,871.8839148829684,177322.18984725897,67561726.4654356,78967512.31225075,0.6389089160579486,0.024267970004537443,0.26339999999999997,0.26823347494089234,0.1259599283434734,1.0924121950824885,11.25,0.4646807553227397,0.8192,0.2644870260291274,0.7634609010516124,0.6927409369288953,0.07404699245858913,1.0041269021606962,1.2955212894965709,2.283914339466202,0.0063161279869146944,0.006418075577289147,0.09812248248302805,2003532.0087192901,6.1060536277515
Bldg_025_6St,Northridge_1994_Sylmar,6.0,1757236.410893677,25.206007389869953,1.499772555124449,0.5085192700648059,0.31318652089399057,0.33906425899533127,0.8984443167658247,1256.4947539012646,292872.7351489462,90287042.21106903,70659424.3390975,1.3333333333333333,0.058348096296313844,0.843,0.8309546252613713,0.3287478434080909,9.138133288190668,9.37,0.4931760280806555,0.8192,0.6161970868198753,1.3633514197235883,1.4833762135274733,0.34451480435328213,0.7309573983628415,1.8307770448296494,3.0410491786498017,0.02863898748411529,0.031997540556140465,0.4287820134429912,10659101.904831598,10.33951312663116
Bldg_023_4St,ChiChi_1999_TCU068_scaled_0.72g,4.0,766198.5056578394,14.085368853543702,0.6464204299712705,0.2384130320594705,0.16037881502662232,0.3688203853180608,0.8743349213046628,818.4828099282827,191549.62641445984,132243280.43540907,155581753.84682024,0.6999844411782463,0.030147286954925547,0.7168,0.9793056114621539,0.3918739507039827,11.287491908555028,18.89,0.7206483050886867,0.6206060606060606,1.8164396047707059,1.4409450569663125,1.479793058664321,0.1886644641575176,2.5340954307627035,1.0415954193873012,0.8969984740222468,0.021781805083703427,0.022517169977358094,0.24300193424318295,12336180.128075847,26.254673035889006
Bldg_002_6St,Northridge_1994_Sylmar,6.0,650483.7733847327,22.938348273347064,1.3796942775133207,0.4892396143506448,0.30631666469100405,0.35460001706495536,0.857522015391217,746.8628765256442,108413.96223078878,35753014.44204229,40000000.0,0.787650722102115,0.04779139732158818,0.843,0.8309546252613713,0.3287478434080909,9.138133288190668,9.37,0.4931760280806555,0.8192,0.6444186238155772,1.5564525599512267,1.684332026234527,0.304769807962138,0.7644349036958212,1.6841971161051277,2.797569628197097,0.02028173914686772,0.02191986100986796,0.41673665027503953,3365486.0206324696,13.985410366395604
Bldg_020_5St,Northridge_1994_Sylmar_scaled_1.18g,5.0,431577.0521504538,15.320911780484215,0.7130741434112638,0.25501056678852646,0.16467834084054334,0.3576213906292907,0.8673366722282386,611.8190943589842,86315.41043009076,75660470.46042758,83114761.34278658,0.7757831833380477,0.058341659875327925,1.1802,1.163336475365919,0.4602469807713281,17.910741244853703,9.37,0.4931760280806554,0.8192,1.7052696567491321,2.4936619440613743,2.444043956800967,0.2155814047180324,1.4448988787909949,0.8704518352188279,1.4458815976648518,0.024579159277271768,0.024723018424039456,0.2854778454829438,6296428.299645291,27.61696992874711
Bldg_033_6St,San_Fernando_1971_Pacoima_scaled_1.20g,6.0,470835.12233445,22.287920016752828,0.9424337011627946,0.3261489219395039,0.2033903163261337,0.34607094540135236,0.865772791165726,638.4639676930507,78472.520389075,56818952.49859368,61590430.563559696,0.8450578110493322,0.04751138868384332,1.2,1.062742688536094,0.48583205637192123,20.75397680557232,9.42,0.461649004640927,0.28054794520547943,1.1429957011825969,3.035126509541478,3.367374522955166,0.252208570024857,0.9524964176521641,3.3592607512150394,2.041450737873516,0.016856552071651616,0.019880542670826905,0.32901563608268886,4883116.587338456,25.990930641639174
Bldg_038_3St,Imperial_Valley_1979_Array6_scaled_0.61g,3.0,670960.952016786,9.738279216538054,0.5814586032302643,0.21822895584713087,0.15751830854494958,0.37531297092307303,0.9074263975091055,780.28692130387,223653.65067226198,118926299.32987614,129961841.76984638,0.8301725754315881,0.058719762660169365,0.6145999999999999,0.6258781081954151,0.2939064994681046,5.947577506560213,11.25,0.46468075532273967,0.8192,1.0395503126211094,1.2583253282756828,1.3075004191666122,0.08729650113383952,1.6914258259373731,0.7097883340213187,1.2513076915062207,0.014712891048718407,0.015115210010791712,0.11187837510181102,6376626.9570683045,15.202851732910272
Bldg_039_3St,El_Centro_1940_NS_scaled_0.21g,3.0,532860.2944545313,11.890482304305188,0.4107129396322553,0.15876053972412202,0.11447839721976313,0.3865486679486486,0.8958001841302572,690.8953248416667,177620.09815151044,183096848.05044726,214400511.75447863,0.7079889087216464,0.03476921926039584,0.2088,0.3280233447506678,0.11186424451877919,1.1185301630938156,13.060000000000002,0.5341737574272261,0.7447272727272727,0.5433886924837861,0.6454447413610541,0.5883357564561955,0.023216885867575098,2.602436266684799,0.5514944257757335,0.7688751720234205,0.002657006750773938,0.0028059642740497566,0.026572726321594436,2686242.769994219,6.894985530942761
Bldg_006_10St,El_Centro_1940_NS,10.0,3366909.3113988144,34.18399184750075,3.281079343997509,1.133043582854695,0.6893601308528857,0.345326480728823,0.8345073949971021,1676.2191738095921,336690.93113988143,51738376.4859165,57211205.11280589,0.7608497926193671,0.02384706204365683,0.348,0.546705574584446,0.18644040753129837,3.1070282308161543,13.060000000000002,0.534173757427226,0.7447272727272727,0.23841893341507914,0.36436999926115576,0.8800696192826615,0.6374779402507,0.6851118776295378,4.40574618944978,6.142344692858694,0.033590707593750775,0.03463543965261252,0.8534035280883708,6773678.456277484,6.173817162414906
Bldg_031_7St,San_Fernando_1971_Pacoima_scaled_0.70g,7.0,856890.734760222,22.75669864505952,1.4911929430096265,0.5226822901820123,0.3255666176728036,0.3505128512257438,0.8443472679464323,850.595879853297,122412.96210860314,46041581.58392334,53788220.09784441,0.7119578041500756,0.04318599737886953,0.7020000000000001,0.621704472793615,0.284211752977573,7.102529712286988,9.42,0.46164900464092706,0.28054794520547943,0.30757273932206064,1.6442638545151782,1.8443809538567935,0.16984965367128962,0.43813780530208063,5.315287345688611,3.230144391125643,0.012480060018177676,0.018879779286612455,0.22467199009397185,3301378.3932311963,12.619241000907504
